,Income,Country,Profession
.net developer,73240.57840847809,,86018.19823529413
.net software developer,73240.57840847809,,147828.78933333332
0,73240.57840847809,207217.55,
Accountant,73240.57840847809,,74935.99637500002
Accounts Assistant,73240.57840847809,,86947.52785234898
Accounts Clerk,73240.57840847809,,75989.08474025974
Accounts Manager,73240.57840847809,,81015.69202702703
Accounts Staff,73240.57840847809,,91033.84843373491
Acoustic Engineer,73240.57840847809,,131644.3670748299
Actor,73240.57840847809,,96681.8121511628
Actress,73240.57840847809,,81602.19274390246
Actuary,73240.57840847809,,84927.78230769232
Acupuncturist,73240.57840847809,,85408.20880733947
Adjustor,73240.57840847809,,69722.45208000002
Administration Assistant,73240.57840847809,,78164.01954545453
Administration Clerk,73240.57840847809,,99453.53186046508
Administration Manager,73240.57840847809,,57588.134596774195
Administration Staff,73240.57840847809,,65390.234649681515
Administrator,73240.57840847809,,92476.1926277372
Advertising Agent,73240.57840847809,,60677.27650602411
Advertising Assistant,73240.57840847809,,105215.0464347826
Advertising Clerk,73240.57840847809,,119901.65867088613
Advertising Contractor,73240.57840847809,,78834.39625899283
Advertising Executive,73240.57840847809,,64877.104732824395
Advertising Manager,73240.57840847809,,99403.7167716535
Advertising Staff,73240.57840847809,,71753.18267857142
Aerial Erector,73240.57840847809,,110043.79157894739
Aerobic Instructor,73240.57840847809,,81848.6177906977
Aeronautical Engineer,73240.57840847809,,64294.23570312499
Afghanistan,73240.57840847809,134144.74117647062,
Agent,73240.57840847809,,83010.17268907561
Air Traffic Controller,73240.57840847809,,63383.007703703675
Aircraft Designer,73240.57840847809,,91454.42170212764
Aircraft Engineer,73240.57840847809,,92533.37757009352
Aircraft Maintenance Engineer,73240.57840847809,,88071.84895348837
Aircraft Surface Finisher,73240.57840847809,,74338.9459223301
Airman,73240.57840847809,,93167.15999999999
Airport Controller,73240.57840847809,,82499.42979166667
Airport Manager,73240.57840847809,,80864.1389041096
Albania,73240.57840847809,134744.2984898314,
Algeria,73240.57840847809,187451.9397368421,
Almoner,73240.57840847809,,95781.76293478257
Ambulance Controller,73240.57840847809,,81957.79172413792
Ambulance Crew,73240.57840847809,,99228.75291666666
Ambulance Driver,73240.57840847809,,99959.8393243243
Amusement Arcade Worker,73240.57840847809,,125776.2177419355
Anaesthetist,73240.57840847809,,113785.35000000006
Analyst,73240.57840847809,,86011.96612499999
